"","Zipcode","Category","Count","Group"
"693",10005,"car crashes",1007,"Safety"
"694",10006,"car crashes",1137,"Safety"
"695",10007,"car crashes",3123,"Safety"
"696",10009,"car crashes",4257,"Safety"
"697",10010,"car crashes",5877,"Safety"
"698",10011,"car crashes",8294,"Safety"
"699",10012,"car crashes",6056,"Safety"
"700",10013,"car crashes",10870,"Safety"
"701",10014,"car crashes",4615,"Safety"
"702",10016,"car crashes",12832,"Safety"
"703",10017,"car crashes",8008,"Safety"
"704",10018,"car crashes",9324,"Safety"
"705",10019,"car crashes",13186,"Safety"
"706",10021,"car crashes",4671,"Safety"
"707",10022,"car crashes",12506,"Safety"
"708",10023,"car crashes",5658,"Safety"
"709",10024,"car crashes",4984,"Safety"
"710",10025,"car crashes",5682,"Safety"
"711",10026,"car crashes",2635,"Safety"
"712",10027,"car crashes",6392,"Safety"
"713",10028,"car crashes",3437,"Safety"
"714",10029,"car crashes",7185,"Safety"
"715",10030,"car crashes",2720,"Safety"
"716",10031,"car crashes",3596,"Safety"
"717",10032,"car crashes",4695,"Safety"
"718",10033,"car crashes",4628,"Safety"
"719",10034,"car crashes",3868,"Safety"
"720",10035,"car crashes",6736,"Safety"
"721",10036,"car crashes",12625,"Safety"
"722",10037,"car crashes",2466,"Safety"
"723",10038,"car crashes",2477,"Safety"
"724",10039,"car crashes",1684,"Safety"
"725",10040,"car crashes",2115,"Safety"
"726",10065,"car crashes",7198,"Safety"
"727",10069,"car crashes",200,"Safety"
"728",10075,"car crashes",2562,"Safety"
"729",10128,"car crashes",4638,"Safety"
"730",10280,"car crashes",207,"Safety"
"731",10282,"car crashes",109,"Safety"
