price,bedrooms,bathrooms,addr,apt,lat,lng,zipcode
"4,200",2,1,121 Essex St,2NDFLOOR,40.7196488,-73.9878899,10002
"3,850",2,1,211 Henry St,4B,40.7138367,-73.9868955,10002
"1,999",1,1,48 Orchard St,1D,41.0423977,-73.5979519,10002
"3,000",2,1,36 Ludlow St,5,40.716001,-73.990173,10002
"3,595",2,3,371 Madison St,4419,40.7137303,-73.9813989,10002
"4,150",2,3,371 Madison St,4513,40.7137303,-73.9813989,10002
"3,500",2,1,33 Canal St,3,40.7147687,-73.9908483,10002
"5,130",2,2,70 East Broadway,011JJ,40.7138391,-73.9948324,10002
"6,750",3,2,88 Clinton St,2B,40.718401,-73.9851503,10002
"2,700",2,1,35 Market St,2,40.0223115,-79.8869244,10002
"2,590",3,1,112 Madison St,6S,40.6840811,-73.954686,10002
"2,600",3,1,112 Madison St,6,40.6840811,-73.954686,10002
"3,200",2,2,31 Monroe St,8A,40.6848002,-73.9578831,10002
"4,100",3,1,275 South St,8O,40.7107312,-73.9877059,10002
"4,950",3,2,275 South St,7JJJ,40.7107312,-73.9877059,10002
"4,000",2,1,275 South St,5S,40.7107312,-73.9877059,10002
"5,055",4,2,275 South St,10FF,40.7107312,-73.9877059,10002
"3,100",3,1,54 Henry St,8,40.7127555,-73.9952602,10002
"3,099",3,1,58 Henry St,R8,40.7127698,-73.9950755,10002
"2,600",2,1,195 Madison St,9,40.712831,-73.9904945,10002
"3,295",3,1,207 Madison St,1A,40.7129115,-73.9895724,10002
"2,995",2,1,207 Madison St,22-A,40.7129115,-73.9895724,10002
"2,727",2,1,41 Henry St,20,40.7131144,-73.9958634,10002
"3,700",3,1,121 Henry St,3,40.7134643,-73.9915903,10002
"4,250",2,2,10 Rutgers St,,40.7137502,-73.9903948,10002
"3,250",2,1,475 Fdr Dr,L501,40.7137564,-73.9777734,10002
"1,950",1,1,199 Henry St,4,40.7137792,-73.9875942,10002
"3,700",2,1,477 Fdr Dr,M2003,40.7140278,-73.9772592,10002
"3,150",1,1,136 East Broadway,12A,40.7141282,-73.9915405,10002
"3,100",2,1,144 East Broadway,H,40.7141457,-73.9912129,10002
"2,990",1,1,568 Grand St,J901,40.7145771,-73.9792021,10002
"2,600",1,4,210 East Broadway,H1802,40.7147024,-73.9878854,10002
"2,800",1,1,268 East Broadway,15X,40.7149801,-73.9850217,10002
"2,895",2,1,15 Essex St,4,40.715178,-73.9900949,10002
"4,995",3,2,20 Orchard St,,40.7152712,-73.9914405,10002
"3,000",1,1,415 Grand St,E2004,40.7153847,-73.9864537,10002
"6,500",3,2,415 Grand St,,40.7153847,-73.9864537,10002
"3,590",1,1,27 Ludlow St,6,40.715502,-73.9908027,10002
"13,500",3,4,32 Orchard St,GROUNDFL,40.7156695,-73.9912806,10002
"2,950",2,1,34 Orchard St,6,40.7157411,-73.9912678,10002
"1,999",1,1,27 1/2 Essex St,4,40.7157468,-73.9898399,10002
"5,595",3,1,49 Ludlow St,10B,40.7165145,-73.9903819,10002
"8,100",2,1,75 Bowery,PH,40.7166002,-73.9954772,10002
"2,100",1,1,66 Orchard St,5,40.7173165,-73.9904203,10002
"2,900",2,1,75 Orchard St,22,40.7176884,-73.990669,10002
"4,150",3,1,75 Orchard St,31,40.7176884,-73.990669,10002
"3,900",3,1,81 Orchard St,12,40.7177524,-73.990575,10002
"1,795",1,1,75 Allen St,3A,40.7178474,-73.991522,10002
"2,863",2,1,249 Broome St,14R,40.7178538,-73.9899604,10002
"2,500",1,1,261 Broome St,H2,40.7180929,-73.9904604,10002
"3,900",3,1,87 Attorney St,4D,40.7181111,-73.9846233,10002
"2,454",2,1,248 Broome St,13A,40.7181318,-73.9896129,10002
"3,585",2,1,100 Forsyth St,14A,40.7182419,-73.992606,10002
"4,000",3,1,203 Rivington St,FOURC,40.7182485,-73.9830713,10002
"3,450",2,1,92 Orchard St,18,40.7182684,-73.9900234,10002
"2,350",1,1,Pitt St and Rivington St,,40.7183105,-73.9825049,10002
"3,300",2,1,100 Suffolk St,3W,40.7184631,-73.9860926,10002
"2,350",1,1,95 Orchard St,5A,40.7184809,-73.9903137,10002
"2,100",1,3,95 Orchard St,3A,40.7184809,-73.9903137,10002
"2,450",1,1,86 Clinton St,2,40.7184855,-73.9851749,10002
"4,795",3,1,198 Rivington St,1AB,40.7185829,-73.9833967,10002
"4,495",2,1,198 Rivington St,4AB,40.7185829,-73.9833967,10002
"1,875",1,1,93 Clinton St,6,40.7185982,-73.9855388,10002
"2,320",1,1,206 Rivington St,1C,40.7186053,-73.9827963,10002
"2,250",1,1,91 Clinton St,2,40.7186696,-73.9855387,10002
"3,000",2,1,102 Norfolk St,5,40.7187348,-73.9869431,10002
"4,272",3,1,102 Norfolk St,16,40.7187348,-73.9869431,10002
"2,900",1,1,87 Clinton St,2,40.7187888,-73.9854632,10002
"2,950",1,1,294 Broome St,5B,40.7188075,-73.991871,10002
